,cep,logradouro,complemento,bairro,localidade,uf,ibge,gia,ddd,siafi
0,40760-120,Rua Alto de Coutos,,Coutos,Salvador,BA,2927408,,71,3849
1,40750-314,Rua Santo Antônio do Alto de Coutos,,Coutos,Salvador,BA,2927408,,71,3849
